,Make,Model,Engine Size(L),Cylinders,Fuel Consumption(Hwy (L/100 km)),Drag coefficient
0,Acura,ILX,2.4,4,7.0,0.30000000000000004
1,Acura,MDX SH-AWD,3.5,6,9.4,0.37
2,Acura,RDX SH-AWD,2.0,4,8.6,0.37
3,Acura,RDX SH-AWD A-SPEC,2.0,4,9.1,0.37
4,Acura,TLX SH-AWD,2.0,4,8.0,0.30000000000000004
5,Acura,TLX SH-AWD A-SPEC,2.0,4,8.1,0.30000000000000004
6,Acura,TLX Type S,3.0,6,9.4,0.30000000000000004
7,Acura,TLX Type S (Performance Tire),3.0,6,9.8,0.30000000000000004
8,Alfa Romeo,Giulia,2.0,4,7.2,0.30500000000000005
9,Alfa Romeo,Giulia AWD,2.0,4,7.7,0.30500000000000005
10,Alfa Romeo,Giulia Quadrifoglio,2.9,6,9.3,0.30500000000000005
11,Alfa Romeo,Stelvio,2.0,4,8.1,0.37
12,Alfa Romeo,Stelvio AWD,2.0,4,8.3,0.37
13,Alfa Romeo,Stelvio AWD Quadrifoglio,2.9,6,10.3,0.37
14,Aston Martin,DB11 V8,4.0,8,9.8,0.32499999999999996
15,Aston Martin,DB11 V12,5.2,12,10.7,0.32499999999999996
16,Aston Martin,DBS V12,5.2,12,10.7,0.32499999999999996
17,Aston Martin,DBX V8,4.0,8,11.9,0.4
18,Aston Martin,Vantage V8,4.0,8,9.6,0.32499999999999996
19,Audi,A3 Sedan 40 TFSI quattro,2.0,4,6.6,0.32499999999999996
20,Audi,A4 Sedan 40 TFSI quattro,2.0,4,7.0,0.30000000000000004
21,Audi,A4 Sedan 45 TFSI quattro,2.0,4,7.6,0.30000000000000004
22,Audi,A4 allroad 45 TFSI quattro,2.0,4,7.9,0.32499999999999996
23,Audi,A5 Cabriolet 45 TFSI quattro,2.0,4,7.5,0.32499999999999996
24,Audi,A5 Coupe 45 TFSI quattro,2.0,4,7.6,0.32499999999999996
25,Audi,A5 Sportback 45 TFSI quattro,2.0,4,7.6,0.30500000000000005
26,Audi,A6 Sedan 45 TFSI quattro,2.0,4,7.4,0.30500000000000005
27,Audi,A6 Sedan 55 TFSI quattro,3.0,6,7.8,0.30500000000000005
28,Audi,A6 allroad 55 TFSI quattro,3.0,6,8.3,0.33999999999999997
29,Audi,A7 Sportback 55 TFSI quattro,3.0,6,7.8,0.30500000000000005
30,Audi,A8 L Sedan 55 TFSI quattro,3.0,6,8.3,0.315
31,Audi,Q3 40 TFSI quattro,2.0,4,7.7,0.37
32,Audi,Q3 45 TFSI quattro,2.0,4,8.3,0.37
33,Audi,Q5 40 TFSI quattro,2.0,4,8.1,0.37
34,Audi,Q5 45 TFSI quattro,2.0,4,8.4,0.37
35,Audi,Q5 Sportback 45 TFSI quattro,2.0,4,8.4,0.37
36,Audi,Q7 45 TFSI quattro,2.0,4,9.4,0.4
37,Audi,Q7 55 TFSI quattro,3.0,6,10.5,0.4
38,Audi,Q8 55 TFSI quattro,3.0,6,10.5,0.4
39,Audi,R8 Coupe Performance,5.2,10,10.3,0.32499999999999996
40,Audi,R8 Coupe Performance quattro,5.2,10,12.1,0.32499999999999996
41,Audi,R8 Spyder Performance,5.2,10,10.3,0.32499999999999996
42,Audi,R8 Spyder Performance quattro,5.2,10,12.1,0.32499999999999996
43,Audi,RS 5 Coupe quattro,2.9,6,9.4,0.32499999999999996
44,Audi,RS 5 Sportback quattro,2.9,6,9.4,0.30500000000000005
45,Audi,RS 6 Avant quattro,4.0,8,10.7,0.33999999999999997
46,Audi,RS 7 Sportback quattro,4.0,8,10.5,0.30500000000000005
47,Audi,RS Q8 quattro,4.0,8,12.3,0.4
48,Audi,S3 Sedan quattro,2.0,4,7.2,0.32499999999999996
49,Audi,S4 Sedan quattro,3.0,6,8.0,0.30000000000000004
50,Audi,S5 Cabriolet quattro,3.0,6,8.4,0.32499999999999996
51,Audi,S5 Coupe quattro,3.0,6,8.0,0.32499999999999996
52,Audi,S5 Sportback quattro,3.0,6,8.0,0.30500000000000005
53,Audi,S6 Sedan quattro,2.9,6,8.5,0.30500000000000005
54,Audi,S7 Sportback quattro,2.9,6,8.5,0.30500000000000005
55,Audi,S8 Sedan quattro,4.0,8,10.2,0.315
56,Audi,SQ5 quattro,3.0,6,9.7,0.37
57,Audi,SQ5 Sportback quattro,3.0,6,9.7,0.37
58,Audi,SQ7 quattro,4.0,8,11.4,0.4
59,Audi,SQ8 quattro,4.0,8,11.4,0.4
60,Audi,TT Coupe 45 TFSI quattro,2.0,4,7.9,0.32499999999999996
61,Audi,TT Roadster 45 TFSI quattro,2.0,4,7.9,0.32499999999999996
62,Audi,TT RS Coupe quattro,2.5,5,8.1,0.32499999999999996
63,Audi,TTS Coupe quattro,2.0,4,7.7,0.32499999999999996
64,Bentley,Bentayga,4.0,8,9.9,0.4
65,Bentley,Bentayga Speed,6.0,12,13.0,0.4
66,Bentley,Continental GT,4.0,8,9.0,0.32499999999999996
67,Bentley,Continental GT Speed,6.0,12,12.0,0.32499999999999996
68,Bentley,Continental GT Convertible,4.0,8,9.2,0.32499999999999996
69,Bentley,Continental GT Convertible Speed,6.0,12,12.9,0.32499999999999996
70,Bentley,Flying Spur,4.0,8,11.6,0.30500000000000005
71,Bentley,Flying Spur,6.0,12,12.2,0.30500000000000005
72,BMW,330i xDrive Sedan,2.0,4,6.9,0.30000000000000004
73,BMW,430i xDrive Cabriolet,2.0,4,7.1,0.32499999999999996
74,BMW,430i xDrive Coupe,2.0,4,7.1,0.32499999999999996
75,BMW,530i xDrive Sedan,2.0,4,7.4,0.30500000000000005
76,BMW,540i xDrive Sedan,3.0,6,8.1,0.315
77,BMW,750i xDrive Sedan,4.4,8,9.6,0.315
78,BMW,750Li xDrive Sedan,4.4,8,9.6,0.315
79,BMW,Alpina B7,4.4,8,9.6,0.315
80,BMW,Alpina B8 Gran Coupe,4.4,8,9.6,0.30500000000000005
81,BMW,Alpina XB7,4.4,8,11.5,0.4
82,BMW,M235i xDrive Gran Coupe,2.0,4,7.8,0.30000000000000004
83,BMW,M240i xDrive Coupe,3.0,6,7.5,0.32499999999999996
84,BMW,M3 Sedan,3.0,6,10.1,0.30000000000000004
85,BMW,M3 Competition Sedan,3.0,6,10.2,0.30000000000000004
86,BMW,M3 Competition Sedan M xDrive,3.0,6,10.5,0.30000000000000004
87,BMW,M340i xDrive Sedan,3.0,6,7.7,0.30000000000000004
88,BMW,M4 Competition Cabriolet M xDrive,3.0,6,10.4,0.32499999999999996
89,BMW,M4 Coupe,3.0,6,10.1,0.32499999999999996
90,BMW,M4 Competition Coupe,3.0,6,10.2,0.32499999999999996
91,BMW,M4 Competition Coupe M xDrive,3.0,6,10.5,0.32499999999999996
92,BMW,M440i xDrive Cabriolet,3.0,6,7.4,0.32499999999999996
93,BMW,M440i xDrive Coupe,3.0,6,7.7,0.32499999999999996
94,BMW,M440i xDrive Gran Coupe,3.0,6,8.0,0.30000000000000004
95,BMW,M5 Sedan,4.4,8,11.0,0.30500000000000005
96,BMW,M5 Competition,4.4,8,11.0,0.30500000000000005
97,BMW,M5 CS,4.4,8,11.0,0.30500000000000005
98,BMW,M550i xDrive Sedan,4.4,8,9.3,0.30500000000000005
99,BMW,M760i xDrive Sedan,6.6,12,11.9,0.315
100,BMW,M8 Cabriolet,4.4,8,11.0,0.32499999999999996
101,BMW,M8 Cabriolet Competition,4.4,8,11.0,0.32499999999999996
102,BMW,M8 Coupe,4.4,8,11.0,0.32499999999999996
103,BMW,M8 Coupe Competition,4.4,8,11.0,0.32499999999999996
104,BMW,M8 Gran Coupe,4.4,8,11.0,0.30500000000000005
105,BMW,M8 Gran Coupe Competition,4.4,8,11.0,0.30500000000000005
106,BMW,M850i xDrive Cabriolet,4.4,8,9.6,0.32499999999999996
107,BMW,M850i xDrive Coupe,4.4,8,9.3,0.32499999999999996
108,BMW,M850i xDrive Gran Coupe,4.4,8,9.6,0.30500000000000005
109,BMW,X1 xDrive28i,2.0,4,7.7,0.37
110,BMW,X2 xDrive28i,2.0,4,7.6,0.37
111,BMW,X2 M35i,2.0,4,7.6,0.37
112,BMW,X3 xDrive30i,2.0,4,8.5,0.37
113,BMW,X3 M,3.0,6,11.7,0.37
114,BMW,X3 M Competition,3.0,6,11.7,0.37
115,BMW,X3 M40i,3.0,6,9.1,0.37
116,BMW,X4 xDrive30i,2.0,4,8.5,0.37
117,BMW,X4 M,3.0,6,11.7,0.37
118,BMW,X4 M Competition,3.0,6,11.7,0.37
119,BMW,X4 M40i,3.0,6,9.1,0.37
120,BMW,X5 xDrive40i,3.0,6,9.2,0.4
121,BMW,X5 M,4.4,8,13.0,0.4
122,BMW,X5 M Competition,4.4,8,13.0,0.4
123,BMW,X5 M50i,4.4,8,10.6,0.4
124,BMW,X6 xDrive40i,3.0,6,9.2,0.4
125,BMW,X6 M,4.4,8,13.0,0.4
126,BMW,X6 M Competition,4.4,8,13.0,0.4
127,BMW,X6 M50i,4.4,8,10.6,0.4
128,BMW,X7 xDrive40i,3.0,6,9.8,0.4
129,BMW,X7 M50i,4.4,8,11.5,0.4
130,BMW,Z4 sDrive30i,2.0,4,7.4,0.32499999999999996
131,BMW,Z4 M40i,3.0,6,8.1,0.32499999999999996
132,Bugatti,Chiron,8.0,16,16.6,0.32499999999999996
133,Bugatti,Chiron Pur Sport,8.0,16,20.9,0.32499999999999996
134,Bugatti,Chiron Super Sport,8.0,16,20.9,0.32499999999999996
135,Buick,Enclave,3.6,6,9.1,0.4
136,Buick,Enclave AWD,3.6,6,9.6,0.4
137,Buick,Encore,1.4,4,7.3,0.37
138,Buick,Encore AWD,1.4,4,7.7,0.37
139,Buick,Encore GX,1.2,3,7.6,0.37
140,Buick,Encore GX,1.3,3,7.4,0.37
141,Buick,Encore GX AWD,1.3,3,8.2,0.37
142,Buick,Envision,2.0,4,7.6,0.37
143,Buick,Envision AWD,2.0,4,8.2,0.37
144,Cadillac,CT4,2.0,4,7.0,0.30000000000000004
145,Cadillac,CT4,2.7,4,7.6,0.30000000000000004
146,Cadillac,CT4 AWD,2.0,4,7.6,0.30000000000000004
147,Cadillac,CT4 AWD,2.7,4,8.2,0.30000000000000004
148,Cadillac,CT4-V,2.7,4,8.2,0.30000000000000004
149,Cadillac,CT4-V AWD,2.7,4,8.4,0.30000000000000004
150,Cadillac,CT4-V Blackwing,3.6,6,9.7,0.30000000000000004
151,Cadillac,CT4-V Blackwing,3.6,6,10.2,0.30000000000000004
152,Cadillac,CT5,2.0,4,7.1,0.30500000000000005
153,Cadillac,CT5,3.0,6,8.7,0.30500000000000005
154,Cadillac,CT5 AWD,2.0,4,7.8,0.30500000000000005
155,Cadillac,CT5 AWD,3.0,6,9.1,0.30500000000000005
156,Cadillac,CT5-V,3.0,6,8.7,0.30500000000000005
157,Cadillac,CT5-V AWD,3.0,6,9.1,0.30500000000000005
158,Cadillac,CT5-V Blackwing,6.2,8,10.7,0.30500000000000005
159,Cadillac,CT5-V Blackwing,6.2,8,11.4,0.30500000000000005
160,Cadillac,Escalade 4WD,3.0,6,9.0,0.4
161,Cadillac,Escalade 4WD,6.2,8,12.7,0.4
162,Cadillac,Escalade 4WD (No Stop-Start),6.2,8,12.7,0.4
163,Cadillac,XT4,2.0,4,7.8,0.37
164,Cadillac,XT4 AWD,2.0,4,8.2,0.37
165,Cadillac,XT5,2.0,4,8.2,0.37
166,Cadillac,XT5 AWD,2.0,4,8.7,0.37
167,Cadillac,XT5 AWD,3.6,6,9.2,0.37
168,Cadillac,XT6 AWD,2.0,4,9.0,0.37
169,Cadillac,XT6 AWD,3.6,6,9.5,0.37
170,Chevrolet,Blazer,2.0,4,8.0,0.37
171,Chevrolet,Blazer,3.6,6,8.8,0.37
172,Chevrolet,Blazer AWD,2.0,4,8.7,0.37
173,Chevrolet,Blazer AWD,3.6,6,9.2,0.37
174,Chevrolet,Camaro,2.0,4,7.8,0.32499999999999996
175,Chevrolet,Camaro,2.0,4,8.0,0.32499999999999996
176,Chevrolet,Camaro,3.6,6,8.1,0.32499999999999996
177,Chevrolet,Camaro,3.6,6,9.1,0.32499999999999996
178,Chevrolet,Camaro SS,6.2,8,8.9,0.32499999999999996
179,Chevrolet,Camaro SS,6.2,8,9.9,0.32499999999999996
180,Chevrolet,Camaro ZL1,6.2,8,11.2,0.32499999999999996
181,Chevrolet,Camaro ZL1,6.2,8,12.0,0.32499999999999996
182,Chevrolet,Colorado,2.5,4,9.4,0.41500000000000004
183,Chevrolet,Colorado,2.8,4,7.9,0.41500000000000004
184,Chevrolet,Colorado,3.6,6,9.3,0.41500000000000004
185,Chevrolet,Colorado 4WD,2.5,4,9.9,0.41500000000000004
186,Chevrolet,Colorado 4WD,2.8,4,8.4,0.41500000000000004
187,Chevrolet,Colorado 4WD,3.6,6,9.9,0.41500000000000004
188,Chevrolet,Colorado ZR2 4WD,2.8,4,10.6,0.41500000000000004
189,Chevrolet,Colorado ZR2 4WD,3.6,6,13.0,0.41500000000000004
190,Chevrolet,Corvette,6.2,8,9.6,0.32499999999999996
191,Chevrolet,Equinox,1.5,4,7.7,0.37
192,Chevrolet,Equinox AWD,1.5,4,8.0,0.37
193,Chevrolet,Malibu,1.5,4,6.6,0.30500000000000005
194,Chevrolet,Malibu,2.0,4,7.1,0.30500000000000005
195,Chevrolet,Silverado,2.7,4,10.6,0.45
196,Chevrolet,Silverado,3.0,6,7.5,0.45
197,Chevrolet,Silverado FFV,5.3,8,12.3,0.45
198,Chevrolet,Silverado FFV,5.3,8,16.0,0.45
199,Chevrolet,Silverado,5.3,8,11.3,0.45
200,Chevrolet,Silverado,5.3,8,11.3,0.45
201,Chevrolet,Silverado 4WD,2.7,4,12.0,0.45
202,Chevrolet,Silverado 4WD Mud Terrain Tire,2.7,4,13.1,0.45
203,Chevrolet,Silverado 4WD,3.0,6,9.1,0.45
204,Chevrolet,Silverado 4WD (With Sport Mode),3.0,6,9.1,0.45
205,Chevrolet,Silverado 4WD Mud Terrain Tire,3.0,6,10.3,0.45
206,Chevrolet,Silverado 4WD FFV,5.3,8,12.8,0.45
207,Chevrolet,Silverado 4WD FFV,5.3,8,16.4,0.45
208,Chevrolet,Silverado 4WD Mud Terrain Tire FFV,5.3,8,14.7,0.45
209,Chevrolet,Silverado 4WD Mud Terrain Tire FFV,5.3,8,19.6,0.45
210,Chevrolet,Silverado 4WD,5.3,8,11.9,0.45
211,Chevrolet,Silverado 4WD Mud Terrain Tire,5.3,8,13.3,0.45
212,Chevrolet,Silverado 4WD,5.3,8,11.8,0.45
213,Chevrolet,Silverado 4WD (No DFM),5.3,8,12.4,0.45
214,Chevrolet,Silverado 4WD (With Sport Mode),5.3,8,12.3,0.45
215,Chevrolet,Silverado 4WD (No Stop-Start),5.3,8,12.4,0.45
216,Chevrolet,Silverado 4WD Mud Terrain Tire,5.3,8,14.0,0.45
217,Chevrolet,Silverado 4WD Mud Terrain Tire (No Stop-Start),5.3,8,13.9,0.45
218,Chevrolet,Silverado 4WD Mud Terrain Tire (No DFM),5.3,8,13.8,0.45
219,Chevrolet,Silverado 4WD,6.2,8,11.9,0.45
220,Chevrolet,Silverado 4WD (No Stop-Start),6.2,8,12.3,0.45
221,Chevrolet,Silverado 4WD Custom Trail Boss,6.2,8,13.2,0.45
222,Chevrolet,Silverado 4WD Mud Terrain Tire,6.2,8,13.2,0.45
223,Chevrolet,Silverado 4WD Mud Terrain Tire (No Stop-Start),6.2,8,14.2,0.45
224,Chevrolet,Silverado 4WD ZR2,6.2,8,14.1,0.45
225,Chevrolet,Spark,1.4,4,6.2,0.32499999999999996
226,Chevrolet,Spark,1.4,4,6.2,0.32499999999999996
227,Chevrolet,Suburban,3.0,6,8.7,0.4
228,Chevrolet,Suburban,5.3,8,11.8,0.4
229,Chevrolet,Suburban (No Stop-Start),5.3,8,11.9,0.4
230,Chevrolet,Suburban 4WD,3.0,6,9.0,0.4
231,Chevrolet,Suburban 4WD,5.3,8,12.4,0.4
232,Chevrolet,Suburban 4WD (No Stop-Start),5.3,8,12.7,0.4
233,Chevrolet,Suburban 4WD,6.2,8,12.7,0.4
234,Chevrolet,Suburban 4WD (No Stop-Start),6.2,8,12.7,0.4
235,Chevrolet,Tahoe,3.0,6,8.4,0.4
236,Chevrolet,Tahoe,5.3,8,11.8,0.4
237,Chevrolet,Tahoe (No Stop-Start),5.3,8,11.9,0.4
238,Chevrolet,Tahoe 4WD,3.0,6,9.0,0.4
239,Chevrolet,Tahoe 4WD,5.3,8,11.8,0.4
240,Chevrolet,Tahoe 4WD (No Stop-Start),5.3,8,12.7,0.4
241,Chevrolet,Tahoe 4WD,6.2,8,12.7,0.4
242,Chevrolet,Tahoe 4WD (No Stop-Start),6.2,8,12.7,0.4
243,Chevrolet,Trailblazer,1.2,3,7.6,0.37
244,Chevrolet,Trailblazer,1.3,3,7.2,0.37
245,Chevrolet,Trailblazer AWD,1.3,3,7.8,0.37
246,Chevrolet,Traverse,3.6,6,8.8,0.4
247,Chevrolet,Traverse AWD,3.6,6,9.6,0.4
248,Chevrolet,Trax,1.4,4,7.3,0.37
249,Chevrolet,Trax AWD,1.4,4,7.7,0.37
250,Chrysler,300,3.6,6,7.8,0.315
251,Chrysler,300,5.7,8,9.4,0.315
252,Chrysler,300 AWD,3.6,6,8.7,0.315
253,Chrysler,Grand Caravan,3.6,6,8.4,0.32499999999999996
254,Chrysler,Pacifica,3.6,6,8.4,0.32499999999999996
255,Chrysler,Pacifica AWD,3.6,6,9.4,0.32499999999999996
256,Dodge,Challenger,3.6,6,7.8,0.30500000000000005
257,Dodge,Challenger (MDS),5.7,8,9.4,0.30500000000000005
258,Dodge,Challenger,5.7,8,10.1,0.30500000000000005
259,Dodge,Challenger (MDS),6.4,8,9.6,0.30500000000000005
260,Dodge,Challenger,6.4,8,10.4,0.30500000000000005
261,Dodge,Challenger AWD,3.6,6,8.7,0.30500000000000005
262,Dodge,Challenger Widebody (MDS),6.4,8,9.6,0.30500000000000005
263,Dodge,Challenger Widebody,6.4,8,10.4,0.30500000000000005
264,Dodge,Challenger SRT Hellcat,6.2,8,10.7,0.30500000000000005
265,Dodge,Challenger SRT Hellcat,6.2,8,11.4,0.30500000000000005
266,Dodge,Challenger SRT Hellcat Widebody,6.2,8,11.3,0.30500000000000005
267,Dodge,Challenger SRT Hellcat Widebody,6.2,8,11.4,0.30500000000000005
268,Dodge,Charger,3.6,6,7.8,0.315
269,Dodge,Charger (MDS),5.7,8,9.4,0.315
270,Dodge,Charger (MDS),6.4,8,9.6,0.315
271,Dodge,Charger AWD,3.6,6,8.7,0.315
272,Dodge,Charger Widebody (MDS),6.4,8,9.6,0.315
273,Dodge,Charger SRT Hellcat Widebody,6.2,8,11.5,0.315
274,Dodge,Durango AWD,3.6,6,9.6,0.4
275,Dodge,Durango AWD,5.7,8,10.9,0.4
276,Dodge,Durango AWD SRT,6.4,8,12.2,0.4
277,FIAT,500X AWD,1.3,4,7.9,0.37
278,Ford,Bronco 4WD,2.3,4,11.2,0.37
279,Ford,Bronco 4WD,2.3,4,11.4,0.37
280,Ford,Bronco 4WD,2.7,6,11.9,0.37
281,Ford,Bronco Badlands 4WD,2.3,4,14.0,0.37
282,Ford,Bronco Badlands 4WD,2.3,4,13.5,0.37
283,Ford,Bronco Badlands 4WD,2.7,6,14.1,0.37
284,Ford,Bronco Black Diamond 4WD,2.3,4,13.1,0.37
285,Ford,Bronco Black Diamond 4WD,2.3,4,12.4,0.37
286,Ford,Bronco Sasquatch 4WD,2.3,4,13.8,0.37
287,Ford,Bronco Sasquatch 4WD,2.3,4,13.1,0.37
288,Ford,Bronco Sasquatch 4WD,2.7,6,14.1,0.37
289,Ford,Bronco Sport 4WD,1.5,3,8.4,0.37
290,Ford,Bronco Sport 4WD,2.0,4,9.0,0.37
291,Ford,EcoSport AWD,2.0,4,8.0,0.37
292,Ford,Edge AWD,2.0,4,8.4,0.37
293,Ford,Edge AWD,2.0,4,8.5,0.37
294,Ford,Edge AWD,2.7,6,9.3,0.37
295,Ford,Escape,1.5,3,6.8,0.37
296,Ford,Escape AWD,1.5,3,7.6,0.37
297,Ford,Escape AWD,2.0,4,7.5,0.37
298,Ford,Escape Hybrid,2.5,4,6.3,0.37
299,Ford,Escape Hybrid AWD,2.5,4,6.4,0.37
300,Ford,Expedition 4X4,3.5,6,10.6,0.4
301,Ford,Expedition 4X4 (Without Stop-Start),3.5,6,11.2,0.4
302,Ford,Expedition Timberline 4X4,3.5,6,12.3,0.4
303,Ford,Expedition Timberline 4X4 (Without Stop-Start),3.5,6,12.3,0.4
304,Ford,Explorer AWD,2.3,4,8.6,0.4
305,Ford,Explorer AWD (Without Stop-Start),2.3,4,9.0,0.4
306,Ford,Explorer Timberline AWD,2.3,4,10.5,0.4
307,Ford,Explorer Timberline AWD (Without Stop-Start),2.3,4,11.0,0.4
308,Ford,Explorer AWD,3.0,6,9.8,0.4
309,Ford,Explorer Hybrid AWD,3.3,6,9.0,0.4
310,Ford,F-150,2.7,6,9.4,0.45
311,Ford,F-150 (Without Stop-Start),2.7,6,10.1,0.45
312,Ford,F-150 FFV,3.3,6,9.8,0.45
313,Ford,F-150 FFV,3.3,6,12.8,0.45
